ID,PW,PH(V)/PW,SA,SA/PH(V)*PW,G_g,f2,f3,f4,f7,f9,f10,LD1,WC,IDNumber,Type
21,1071,0.830065359,300706.417,0.32,14.76389125,0.139,0.093,0.073,0.044,0.041,0.046,0.053,0.832048564,13,B
27,1198,0.952420701,347421.25,0.25,15.12603514,0.151,0.109,0.086,0.036,0.037,0.045,0.056,0.804808994,17,B
30,1226,0.906199021,416360.333,0.31,15.29426935,0.144,0.093,0.073,0.045,0.042,0.045,0.045,0.742414861,19,B
38,1185,0.957805907,315406.167,0.23,15.30844151,0.154,0.104,0.072,0.035,0.032,0.045,0.059,0.746435119,23,B
40,1121,0.948260482,225420.667,0.19,15.07937421,0.169,0.102,0.072,0.044,0.044,0.037,0.063,0.755715558,25,B
50,1076,1.101301115,398226.667,0.31,15.20965143,0.146,0.101,0.075,0.039,0.034,0.038,0.056,0.777633177,33,B
53,1223,0.854456255,416617.667,0.33,15.20698635,0.134,0.098,0.076,0.05,0.043,0.043,0.048,0.827983744,36,B
56,921,1.30184582,163264.333,0.15,14.56569885,0.172,0.111,0.072,0.057,0.033,0.023,0.078,0.8346202,39,B
59,1222,0.966448445,439277.917,0.3,15.19046535,0.16,0.097,0.062,0.042,0.038,0.046,0.048,0.793710361,42,B
61,1071,1.059757236,396081.167,0.33,15.07749037,0.136,0.096,0.071,0.048,0.045,0.049,0.043,0.80007682,44,B
62,1117,1.053715309,431283.417,0.33,15.20220317,0.151,0.091,0.068,0.041,0.038,0.042,0.049,0.791737636,45,B
68,1106,0.972875226,362195.167,0.3,15.10027375,0.14,0.094,0.076,0.04,0.035,0.04,0.058,0.808113403,49,B
72,1142,1.353765324,310517.25,0.18,15.53653059,0.172,0.108,0.082,0.059,0.039,0.023,0.058,0.756226329,53,B
73,1184,1.206081081,285263.167,0.17,15.55591881,0.187,0.115,0.077,0.047,0.022,0.015,0.075,0.738862559,54,B
79,1224,1.08251634,323107.583,0.2,15.21023793,0.188,0.113,0.079,0.044,0.033,0.025,0.06,0.751922885,59,B
83,1141,1.17791411,259465.917,0.17,15.24022255,0.171,0.122,0.096,0.047,0.026,0.021,0.064,0.759156252,62,B
86,1422,0.715189873,386656.25,0.27,15.36472836,0.164,0.121,0.098,0.051,0.027,0.026,0.049,0.829397904,64,B
87,1083,1.167128347,297593.167,0.22,15.11547483,0.17,0.109,0.078,0.047,0.04,0.04,0.064,0.80790248,65,B
88,1265,1.133596838,449129.417,0.25,15.44517178,0.175,0.117,0.085,0.043,0.034,0.032,0.053,0.830828176,66,B
93,1221,1.040950041,343890.333,0.22,15.20690949,0.179,0.114,0.085,0.037,0.03,0.025,0.063,0.823257024,70,B
95,1230,1.095934959,549556.5,0.33,15.53358163,0.153,0.115,0.088,0.055,0.034,0.033,0.051,0.852870136,72,B
96,1228,0.943811075,407062.5,0.29,15.34158878,0.163,0.108,0.082,0.053,0.039,0.036,0.056,0.830103129,73,B
100,1231,1.13322502,359574.25,0.21,15.63097104,0.161,0.115,0.09,0.05,0.035,0.025,0.073,0.741358101,76,B
101,1220,1.114754098,233386.083,0.14,14.83193599,0.176,0.106,0.08,0.045,0.021,0.012,0.063,0.823287779,77,B
102,1232,0.959415584,464093.167,0.32,15.39072499,0.162,0.113,0.081,0.039,0.033,0.038,0.059,0.860650666,78,B
103,1223,0.964022895,306176.583,0.21,15.11352105,0.175,0.113,0.078,0.041,0.035,0.031,0.064,0.852721783,79,B
105,1134,1.186948854,363942.583,0.24,15.48882691,0.14,0.085,0.062,0.032,0.036,0.049,0.062,0.803439803,80,B
106,1221,1.050778051,393883.083,0.25,15.24184527,0.154,0.107,0.08,0.044,0.039,0.037,0.053,0.810468017,81,B
109,1155,1.345454545,337458.333,0.19,15.47237154,0.179,0.111,0.074,0.035,0.032,0.032,0.061,0.771607978,84,B
110,1233,0.740470397,380784.25,0.34,15.21265474,0.152,0.101,0.077,0.053,0.039,0.037,0.054,0.856947135,85,B
111,1190,0.973109244,290110.167,0.21,14.94071696,0.162,0.101,0.072,0.041,0.044,0.04,0.056,0.856393855,86,B
117,1193,0.962279966,294024.25,0.21,15.14749216,0.147,0.114,0.091,0.059,0.04,0.033,0.054,0.720722591,91,B
121,1175,1.152340426,340271.5,0.21,15.58467141,0.182,0.114,0.085,0.043,0.029,0.022,0.062,0.733381818,94,B
134,1221,1.049140049,399851.833,0.26,15.36137459,0.161,0.099,0.07,0.037,0.035,0.04,0.064,0.811616428,101,B
135,1217,0.99096138,369142.25,0.25,15.56726721,0.183,0.126,0.087,0.038,0.032,0.036,0.056,0.776196369,102,B
136,1058,1.325141777,255155.083,0.17,15.47634517,0.173,0.113,0.083,0.049,0.021,0.013,0.072,0.753756394,103,B
137,1065,1.454460094,336083.417,0.2,15.54456414,0.183,0.107,0.072,0.042,0.048,0.034,0.058,0.766757174,104,B
139,1224,1.310457516,350043.333,0.18,15.23228506,0.164,0.114,0.086,0.051,0.044,0.037,0.058,0.841508758,106,B
140,1228,0.946254072,420406.167,0.29,15.2904517,0.14,0.089,0.071,0.042,0.044,0.045,0.053,0.797464016,107,B
141,1227,1.225753871,563782.5,0.31,15.59187698,0.16,0.113,0.079,0.045,0.036,0.043,0.056,0.843722489,108,B
162,1199,1.196830692,355843.5,0.21,15.29127756,0.172,0.117,0.082,0.05,0.042,0.036,0.061,0.79182442,123,B
171,1225,1.081632653,268688.167,0.17,15.26454581,0.17,0.11,0.082,0.056,0.022,0.012,0.063,0.798038775,131,B
173,1226,1.017128874,324840.5,0.21,15.22253618,0.161,0.11,0.092,0.052,0.038,0.027,0.054,0.768702979,133,B
178,1035,1.062801932,287506.917,0.25,15.03590592,0.153,0.099,0.066,0.038,0.031,0.041,0.061,0.76451334,138,B
181,995,1.304522613,206503.167,0.16,15.20655906,0.18,0.12,0.086,0.044,0.025,0.021,0.082,0.78200064,141,B
182,1022,1.340508806,210129.917,0.15,15.33058664,0.177,0.115,0.082,0.039,0.023,0.017,0.071,0.735489815,142,B
188,1222,0.966448445,365449.917,0.25,15.15740526,0.141,0.103,0.082,0.045,0.039,0.039,0.057,0.832050871,147,B
191,1225,1.259591837,557129.75,0.29,15.60909496,0.167,0.113,0.084,0.046,0.036,0.043,0.048,0.786763519,149,B
194,1153,1.171725932,330727.25,0.21,15.54912087,0.163,0.109,0.077,0.044,0.041,0.04,0.074,0.773936699,150,B
196,1228,1.034201954,326089.833,0.21,15.15930802,0.177,0.106,0.083,0.051,0.029,0.021,0.06,0.847458453,152,B
197,1030,1.163106796,164988.25,0.13,15.17297643,0.16,0.111,0.093,0.05,0.029,0.022,0.08,0.752378121,153,B
C126,1247,1.039294306,414373.917,0.26,15.30070471,0.16,0.102,0.071,0.038,0.034,0.042,0.061,0.839271513,159,B
W001,1166,0.977701544,311273.833,0.23,15.34497514,0.173,0.112,0.086,0.052,0.028,0.022,0.054,0.782831564,160,B
W005,995,1.411055276,236442,0.17,15.02609858,0.156,0.105,0.082,0.054,0.04,0.033,0.064,0.814824655,164,B
W006,1226,1.267536705,260719.667,0.14,15.05206986,0.19,0.107,0.065,0.039,0.036,0.025,0.072,0.808624201,165,B
W022,1225,1.071836735,248337.5,0.15,14.9069776,0.19,0.102,0.069,0.052,0.028,0.016,0.059,0.821895297,173,B
W023,1223,0.973834832,357784,0.25,15.23915889,0.152,0.107,0.086,0.045,0.032,0.032,0.067,0.799824847,174,B
W025,1112,1.361510791,403019.167,0.24,15.69404141,0.161,0.113,0.089,0.044,0.041,0.045,0.058,0.796236388,176,B
W026,1170,1.233333333,240179.167,0.14,15.31621622,0.185,0.108,0.091,0.049,0.023,0.012,0.07,0.749255952,177,B
W027,1223,1.184791496,288690.333,0.16,15.43653057,0.149,0.1,0.079,0.056,0.036,0.024,0.063,0.788245901,178,B
W037,1156,1.029411765,477033.25,0.35,15.39307829,0.134,0.099,0.083,0.049,0.037,0.036,0.048,0.822564134,183,B
W038,1228,1.000814332,427588.167,0.28,15.26342109,0.151,0.094,0.071,0.039,0.035,0.041,0.057,0.821273758,184,B
W048,1214,1.166392092,211310.917,0.12,15.02416524,0.183,0.1,0.068,0.043,0.025,0.017,0.073,0.759224789,189,B
W057,1334,1.174662669,429143.583,0.21,15.51616084,0.169,0.127,0.091,0.048,0.034,0.03,0.06,0.778884853,193,B
W068,1223,1.152085037,376542.25,0.22,15.50429809,0.167,0.106,0.072,0.039,0.037,0.04,0.064,0.804220677,201,B
W075,1225,1.111836735,359086.333,0.22,15.4407888,0.177,0.105,0.075,0.051,0.04,0.032,0.061,0.789129152,206,B
W084,961,1.225806452,313161.083,0.28,15.16861837,0.144,0.1,0.076,0.038,0.034,0.038,0.06,0.776746345,213,B
W091,1224,1.065359477,366482.75,0.23,15.49484674,0.192,0.123,0.085,0.038,0.03,0.023,0.064,0.794909268,219,B
W092,1234,1.159643436,495241.667,0.28,15.82267723,0.165,0.113,0.086,0.052,0.053,0.05,0.045,0.749536328,220,B
W103,1159,1.070750647,346355,0.24,15.50085399,0.145,0.098,0.072,0.04,0.04,0.041,0.065,0.784657089,230,B
W104,1217,1.130649137,306252.333,0.18,15.09769619,0.171,0.113,0.076,0.048,0.052,0.04,0.065,0.783408385,231,B
W106,1229,1.031733116,385410.083,0.25,15.44295853,0.161,0.114,0.089,0.045,0.036,0.04,0.051,0.818809699,233,B
W107,1151,1.057341442,383284.5,0.27,15.20797027,0.145,0.098,0.072,0.044,0.039,0.043,0.067,0.836326542,234,B
W110,1135,1.082819383,210399.917,0.15,14.7807429,0.157,0.1,0.073,0.058,0.048,0.033,0.066,0.814026581,236,B
W112,1230,1.207317073,315923.583,0.17,15.21951666,0.186,0.123,0.084,0.036,0.034,0.032,0.071,0.821897132,237,B
W114,1205,0.96846473,465086.083,0.33,15.39911939,0.147,0.119,0.097,0.061,0.038,0.038,0.054,0.827405381,238,B
W125,1202,0.888519135,285696.25,0.22,15.20662933,0.165,0.105,0.072,0.042,0.039,0.038,0.056,0.770510227,245,B
W131,1218,1.34318555,388820.833,0.2,15.59761177,0.18,0.111,0.074,0.034,0.042,0.04,0.064,0.807260443,248,B
W133,1220,1.236885246,297176.167,0.16,15.30879685,0.163,0.112,0.077,0.043,0.042,0.032,0.079,0.759204459,250,B
W134,1210,0.970247934,367799.833,0.26,15.26647052,0.183,0.123,0.093,0.044,0.034,0.035,0.06,0.841378605,251,B
W137,1028,1.077821012,338610,0.3,15.06274659,0.137,0.091,0.069,0.04,0.036,0.041,0.053,0.795327858,253,B
W140,1228,0.821661238,344259.833,0.28,15.18821212,0.17,0.125,0.088,0.046,0.043,0.037,0.065,0.81059827,255,B
W143,1121,1.001784121,323785.5,0.26,15.08149206,0.136,0.092,0.074,0.052,0.042,0.046,0.054,0.847115705,257,B
W148,1231,1.054427295,475854.167,0.3,15.38710687,0.161,0.114,0.089,0.046,0.035,0.038,0.054,0.848746824,262,B
W154,1004,1.065737052,215627.417,0.2,14.86576833,0.137,0.096,0.081,0.057,0.044,0.039,0.064,0.724251497,268,B
W166,1025,1.136585366,202929.667,0.17,14.88915022,0.163,0.108,0.08,0.054,0.036,0.025,0.065,0.747660536,278,B
W167,1223,1.013082584,362060.417,0.24,15.05114018,0.173,0.107,0.074,0.041,0.042,0.041,0.056,0.81701068,279,B
W168,1149,0.83637946,341196.75,0.31,14.95318008,0.149,0.107,0.078,0.042,0.038,0.041,0.049,0.810846954,280,B
