ID,PW,PH(V),PH(V)/PW,PH,PH/PW,SA,SA/PH(V)*PW,IFD,SFD,G_g,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,LD1,LD2,LD3,LD4,LD5,LD6,WC,IDNumber,Type
33,1168,1232,1.054794521,1245.934037,1.066724347,374822.167,0.26,1.834,1.556,15.34917491,0.278,0.137,0.084,0.068,0.05,0.045,0.049,0.043,0.047,0.057,0.065,0.078,0.053,0.293,0.173,0.125,0.118,0.238,0.806393099,21,
37,1097,1191,1.085688241,1215.591029,1.108104858,262459.083,0.2,1.823,1.519,15.19381553,0.304,0.136,0.086,0.058,0.049,0.046,0.049,0.048,0.053,0.064,0.066,0.041,0.059,0.305,0.159,0.124,0.132,0.22,0.717967352,22,
38,1185,1135,0.957805907,1257.807388,1.061440834,315406.167,0.23,1.822,1.547,15.30844151,0.29,0.154,0.104,0.072,0.048,0.039,0.035,0.031,0.032,0.045,0.059,0.091,0.059,0.317,0.199,0.12,0.084,0.22,0.746435119,23,
39,1222,1136,0.929623568,1280.234828,1.047655342,297407,0.21,1.822,1.54,15.31318617,0.282,0.147,0.092,0.066,0.051,0.049,0.047,0.046,0.051,0.059,0.06,0.051,0.056,0.3,0.19,0.131,0.13,0.193,0.73367822,24,
40,1121,1063,0.948260482,1532.21372,1.366827583,225420.667,0.19,1.765,1.501,15.07937421,0.344,0.169,0.102,0.072,0.057,0.047,0.044,0.045,0.044,0.037,0.021,0.019,0.063,0.362,0.217,0.14,0.103,0.116,0.755715558,25,
42,932,1100,1.180257511,1239.337731,1.329761514,263522.667,0.26,1.822,1.528,14.95997324,0.283,0.135,0.088,0.066,0.052,0.051,0.051,0.053,0.051,0.052,0.059,0.058,0.055,0.289,0.169,0.149,0.134,0.203,0.744157692,26,
43,943,1044,1.107104984,1116.646438,1.184142564,265476.25,0.27,1.846,1.526,15.13750935,0.245,0.128,0.08,0.068,0.054,0.052,0.048,0.045,0.047,0.056,0.086,0.092,0.047,0.257,0.166,0.129,0.125,0.276,0.713377117,27,
44,985,1116,1.132994924,1156.224274,1.173831751,235769.583,0.21,1.842,1.51,14.98995048,0.286,0.123,0.077,0.052,0.042,0.038,0.037,0.037,0.045,0.066,0.098,0.1,0.072,0.269,0.136,0.104,0.116,0.303,0.71898883,28,
45,650,977,1.503076923,1149.627968,1.768658413,138912.25,0.22,1.804,1.439,14.76020114,0.228,0.124,0.09,0.072,0.063,0.059,0.059,0.068,0.069,0.064,0.05,0.054,0.064,0.243,0.181,0.173,0.139,0.2,0.731765365,29,
46,992,1001,1.009072581,1044.087071,1.052507128,205173.667,0.21,1.802,1.491,14.92271045,0.327,0.162,0.089,0.058,0.042,0.04,0.037,0.038,0.038,0.042,0.055,0.072,0.076,0.316,0.174,0.118,0.099,0.218,0.740996984,30,
47,1041,1385,1.330451489,1592.899736,1.530163051,277727.75,0.19,1.806,1.514,15.4425764,0.306,0.152,0.091,0.067,0.054,0.044,0.039,0.039,0.053,0.06,0.051,0.044,0.067,0.308,0.174,0.12,0.132,0.199,0.784363424,31,
48,961,1055,1.097814776,1210.313984,1.259431825,213707.167,0.21,1.802,1.499,14.7947882,0.263,0.16,0.095,0.067,0.057,0.055,0.046,0.041,0.044,0.05,0.06,0.062,0.068,0.302,0.183,0.129,0.117,0.202,0.731127679,32,
50,1076,1185,1.101301115,1281.55409,1.191035399,398226.667,0.31,1.842,1.567,15.20965143,0.259,0.146,0.101,0.075,0.06,0.046,0.039,0.036,0.034,0.038,0.068,0.097,0.056,0.3,0.182,0.118,0.093,0.251,0.777633177,33,
51,913,1099,1.203723987,1190.525066,1.303970499,272561.667,0.27,1.831,1.535,14.86144025,0.24,0.141,0.098,0.083,0.071,0.053,0.043,0.036,0.032,0.037,0.058,0.108,0.061,0.273,0.194,0.142,0.09,0.24,0.816226361,34,
52,879,1014,1.153583618,1083.664908,1.232838348,211226.667,0.24,1.813,1.496,14.63506357,0.269,0.124,0.095,0.075,0.064,0.061,0.054,0.053,0.053,0.054,0.055,0.044,0.06,0.287,0.185,0.141,0.142,0.185,0.789379008,35,
53,1223,1045,0.854456255,1226.145119,1.002571642,416617.667,0.33,1.832,1.586,15.20698635,0.245,0.134,0.098,0.076,0.061,0.052,0.05,0.046,0.043,0.043,0.056,0.095,0.048,0.283,0.187,0.138,0.108,0.236,0.827983744,36,
54,904,985,1.08960177,1046.725594,1.157882294,255902.833,0.29,1.85,1.526,14.68991613,0.223,0.122,0.079,0.067,0.061,0.054,0.048,0.045,0.045,0.054,0.084,0.118,0.055,0.24,0.166,0.127,0.119,0.294,0.809465879,37,
55,570,1039,1.822807018,1048.044855,1.838675184,100456.5,0.17,1.743,1.395,14.44558898,0.32,0.174,0.12,0.072,0.05,0.043,0.042,0.045,0.046,0.043,0.028,0.019,0.092,0.317,0.226,0.152,0.112,0.101,0.75,38,
56,921,1199,1.30184582,1264.403694,1.372859603,163264.333,0.15,1.725,1.452,14.56569885,0.326,0.172,0.111,0.072,0.064,0.058,0.057,0.048,0.033,0.023,0.018,0.016,0.078,0.331,0.241,0.178,0.1,0.073,0.8346202,39,
57,1057,1345,1.272469253,1615.327177,1.52821871,279617,0.2,1.778,1.516,15.34931043,0.329,0.166,0.107,0.076,0.057,0.048,0.039,0.036,0.038,0.039,0.033,0.032,0.067,0.347,0.215,0.137,0.103,0.132,0.80458221,40,
58,993,1080,1.087613293,1137.754617,1.145775043,256640.667,0.24,1.805,1.522,15.12227934,0.284,0.139,0.088,0.066,0.055,0.051,0.057,0.06,0.059,0.055,0.046,0.041,0.058,0.293,0.187,0.154,0.128,0.181,0.758583211,41,
59,1222,1181,0.966448445,1256.488127,1.02822269,439277.917,0.3,1.83,1.583,15.19046535,0.278,0.16,0.097,0.062,0.051,0.045,0.042,0.039,0.038,0.046,0.06,0.081,0.048,0.322,0.175,0.12,0.101,0.233,0.793710361,42,
