ID,PW,PH(V),PH(V)/PW,PH,PH/PW,SA,SA/PH(V)*PW,IFD,SFD,G_g,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,LD1,LD2,LD3,LD4,LD5,LD6,Wf(g),Wd(g),WC,,Wf-Wd,Wd/Wf
125,666,944,1.417417417,1058.833,1.589839339,103742.333,0.165009819,1.728,1.399,14.54647157,0.378,0.202,0.116,0.082,0.057,0.043,0.037,0.029,0.02,0.014,0.012,0.01,0.077,0.389,0.228,0.157,0.084,0.065,33.01999998,7.090000003,0.785281647,,32.38999999,0.217254712
127,1224,1120,0.91503268,1145.428,0.93580719,169038.5,0.123306562,1.75,1.468,14.81889102,0.324,0.161,0.099,0.076,0.066,0.056,0.054,0.049,0.047,0.038,0.022,0.008,0.077,0.33,0.226,0.16,0.121,0.086,82.17,14.58000001,0.822562979,,37.73000002,0.174217553
128,654,987,1.509174312,1025.842,1.568565749,93446.667,0.14476678,1.718,1.384,14.61788136,0.373,0.182,0.108,0.075,0.055,0.038,0.033,0.035,0.033,0.027,0.018,0.023,0.097,0.382,0.208,0.144,0.093,0.076,33.58000001,6.970000002,0.792435974,,47.82000002,0.169359041
129,733,611,0.833560709,654.636,0.893091405,84255.333,0.18812747,1.763,1.381,14.14263339,0.306,0.169,0.111,0.083,0.061,0.049,0.044,0.038,0.037,0.033,0.033,0.034,0.078,0.349,0.236,0.138,0.086,0.113,31.90999999,5.739999998,0.820119085,,45.00999997,0.192790531
130,808,899,1.112623762,956.09,1.183279703,116165.917,0.159921801,1.739,1.415,14.47381113,0.352,0.172,0.106,0.072,0.056,0.051,0.041,0.031,0.029,0.032,0.027,0.033,0.088,0.359,0.212,0.139,0.095,0.107,48.74999998,9.06,0.814153846,,49.32999999,0.184493305
131,1045,1004,0.96076555,1105.837,1.058217225,147373,0.140464935,1.755,1.449,14.72102079,0.373,0.167,0.089,0.065,0.051,0.041,0.041,0.046,0.046,0.042,0.024,0.013,0.073,0.388,0.203,0.142,0.108,0.086,59.96999999,11.92,0.80123395,,37.19000001,0.182996485
132,1106,783,0.7079566,949.141,0.858174503,181650.583,0.209758663,1.766,1.475,14.66559368,0.298,0.169,0.118,0.082,0.06,0.044,0.04,0.04,0.042,0.042,0.032,0.033,0.071,0.334,0.219,0.14,0.107,0.128,76.33000001,13.02,0.829424866,,34.54999998,0.173247188
134,774,673,0.869509044,917.292,1.185131783,88141.333,0.169209051,1.717,1.382,14.3017129,0.411,0.186,0.1,0.059,0.044,0.037,0.033,0.034,0.031,0.027,0.018,0.021,0.111,0.399,0.195,0.117,0.08,0.098,30.83,5.379999999,0.825494648,,49.82,0.180726854
135,1081,920,0.85106383,1058.72,0.979389454,156312.25,0.157173561,1.714,1.453,14.66899304,0.383,0.198,0.123,0.075,0.052,0.037,0.027,0.025,0.027,0.026,0.017,0.008,0.084,0.429,0.23,0.125,0.076,0.057,55.33999998,9.75,0.823816408,,29.76,0.157179269
136,982,934,0.951120163,1003.901,1.022302444,122378.583,0.133428025,1.71,1.423,14.70008765,0.398,0.171,0.11,0.08,0.059,0.049,0.037,0.027,0.023,0.017,0.014,0.016,0.088,0.431,0.218,0.133,0.074,0.055,41.37999999,8.989999996,0.782745288,,42.90000002,0.185958254
137,919,1211,1.31773667,1274.525,1.386860718,119445.917,0.107327658,1.676,1.412,14.54603625,0.4,0.188,0.114,0.073,0.059,0.052,0.042,0.025,0.018,0.013,0.007,0.009,0.087,0.418,0.24,0.143,0.068,0.044,45.69000002,7.960000001,0.825782447,,32.07999998,0.213918157
138,1215,883,0.726748971,1060.162,0.872561317,137858.667,0.128498215,1.69,1.437,14.70396805,0.434,0.211,0.107,0.062,0.04,0.032,0.025,0.023,0.019,0.015,0.014,0.019,0.109,0.458,0.214,0.099,0.06,0.06,57.57000002,9.75,0.830640959,,67.99999999,0.19602743
139,1038,960,0.924855491,1018.888,0.981587669,141867.75,0.142368888,1.751,1.442,14.50534551,0.333,0.173,0.108,0.073,0.058,0.047,0.041,0.043,0.038,0.033,0.029,0.023,0.093,0.349,0.217,0.143,0.099,0.098,55.75999997,10.75,0.807209469,,39.25000002,0.179042041
140,905,730,0.806629834,860.058,0.950340331,131923.583,0.199687555,1.78,1.436,14.41946521,0.341,0.164,0.101,0.067,0.054,0.045,0.036,0.034,0.035,0.041,0.046,0.038,0.087,0.362,0.194,0.123,0.099,0.135,60.48999999,11.16,0.815506695,,24.25000001,0.176290761
141,825,673,0.815757576,999.721,1.21178303,105789.417,0.190534319,1.757,1.404,14.35239942,0.316,0.171,0.109,0.077,0.059,0.046,0.039,0.043,0.046,0.04,0.032,0.022,0.084,0.339,0.213,0.132,0.112,0.12,45.52000001,8.329999999,0.817003515,,59.21000001,0.189681128
142,777,639,0.822393822,881.701,1.134750322,105258.667,0.212000062,1.773,1.409,14.28227985,0.311,0.169,0.103,0.074,0.052,0.045,0.041,0.043,0.044,0.043,0.039,0.036,0.081,0.339,0.204,0.141,0.102,0.133,41.78999998,7.239999997,0.826752812,,28.71000001,0.213424657
143,1002,974,0.972055888,1004.115,1.002110778,129248.917,0.132434225,1.776,1.426,14.41326153,0.372,0.16,0.088,0.052,0.043,0.042,0.04,0.036,0.037,0.043,0.045,0.043,0.082,0.341,0.17,0.119,0.113,0.176,60.80999999,10.99,0.819273146,,32.13999998,0.203666997
144,677,948,1.400295421,1039.942,1.536103397,80574.417,0.125545215,1.664,1.363,14.06991638,0.41,0.173,0.105,0.087,0.068,0.053,0.041,0.024,0.017,0.009,0.005,0.008,0.09,0.408,0.245,0.159,0.063,0.035,35.31,5.550000001,0.842820731,,26.84,0.185679612
145,693,815,1.176046176,866.8592593,1.250879162,110399.167,0.195467678,1.779,1.407,14.16652089,0.317,0.14,0.092,0.074,0.06,0.05,0.043,0.044,0.039,0.045,0.047,0.047,0.077,0.316,0.192,0.142,0.113,0.16,52.70000002,9.800000003,0.814041746,,45.96999999,0.191380827
146,801,783,0.97752809,843.069,1.052520599,99413.25,0.158507565,1.765,1.393,14.1534406,0.312,0.166,0.104,0.08,0.06,0.05,0.046,0.043,0.043,0.043,0.03,0.023,0.077,0.352,0.228,0.141,0.093,0.109,40.80999998,8.730000001,0.786081843,,55.32,0.176663194
147,822,726,0.883211679,839.341,1.021096107,151415.583,0.253724342,1.817,1.45,14.44148495,0.26,0.158,0.108,0.081,0.058,0.043,0.034,0.031,0.029,0.036,0.05,0.111,0.063,0.285,0.207,0.121,0.086,0.239,84.58,16.58,0.80397257,,30.69000001,0.20409751
148,663,689,1.039215686,813.106,1.226404223,100531.5,0.220074342,1.796,1.391,14.03682197,0.312,0.155,0.09,0.063,0.052,0.045,0.036,0.033,0.039,0.041,0.061,0.073,0.068,0.33,0.179,0.117,0.11,0.196,47.81000002,8.559999999,0.820957959,,25.07,0.167938931
149,751,857,1.14114514,945.3777778,1.25882527,70263.75,0.109171824,1.653,1.348,14.00016141,0.419,0.182,0.121,0.09,0.06,0.035,0.024,0.019,0.014,0.011,0.009,0.015,0.106,0.436,0.256,0.112,0.049,0.041,29.44,5.189999999,0.823709239,,50.93000002,0.206944877
150,757,841,1.110964333,888.571,1.173805812,129999.083,0.204196556,1.798,1.429,14.28731382,0.271,0.133,0.092,0.074,0.06,0.054,0.051,0.051,0.05,0.049,0.055,0.061,0.069,0.291,0.196,0.147,0.116,0.18,73.07000001,13.86,0.810318872,,67.53000002,0.208045033
151,596,758,1.271812081,829.974,1.392573826,100992.417,0.223549293,1.796,1.393,14.22351921,0.265,0.161,0.098,0.069,0.059,0.047,0.042,0.042,0.041,0.045,0.064,0.067,0.064,0.283,0.193,0.143,0.122,0.194,36.50000002,7.790000001,0.786575343,,39.64000001,0.234896738
152,558,988,1.770609319,1028.155,1.842571685,100457.417,0.182217827,1.731,1.394,14.13324852,0.28,0.16,0.116,0.09,0.08,0.064,0.059,0.05,0.04,0.03,0.013,0.017,0.069,0.304,0.252,0.195,0.112,0.068,40.35999998,8.219999999,0.796333003,,46.05999998,0.195177355
153,763,887,1.162516383,969.051,1.270053735,72206.25,0.106690717,1.674,1.346,13.88324156,0.359,0.204,0.109,0.081,0.068,0.051,0.039,0.032,0.024,0.012,0.008,0.013,0.084,0.389,0.225,0.167,0.093,0.043,32.96,6.120000003,0.814320388,,36.72999998,0.18720956
156,823,815,0.990279465,874.2666667,1.062292426,122598.083,0.182778974,1.783,1.419,14.16983762,0.297,0.157,0.093,0.08,0.062,0.049,0.039,0.033,0.038,0.044,0.052,0.055,0.061,0.314,0.192,0.143,0.112,0.178,56.84999999,10.88,0.808619173,,26.81999998,0.268811342
157,846,858,1.014184397,973.5259259,1.150739865,138764.417,0.191170319,1.766,1.442,14.41334958,0.325,0.167,0.099,0.069,0.051,0.044,0.043,0.042,0.043,0.04,0.037,0.041,0.084,0.348,0.188,0.129,0.106,0.144,67.19,11.87,0.823336806,,27.57999999,0.214468812
159,745,781,1.048322148,859.199,1.153287248,102270.917,0.175770037,1.773,1.398,14.16595655,0.319,0.167,0.093,0.063,0.054,0.047,0.046,0.039,0.036,0.043,0.048,0.045,0.067,0.328,0.208,0.135,0.096,0.167,38.56000001,7.869999997,0.79590249,,41.65000002,0.173938913
160,503,791,1.572564612,954.2666667,1.897150431,80695.333,0.202816811,1.761,1.364,14.00701751,0.3,0.15,0.102,0.082,0.062,0.05,0.044,0.039,0.042,0.045,0.049,0.036,0.081,0.289,0.198,0.155,0.126,0.151,30.13,5.059999998,0.832061069,,28.21000001,0.1875
163,761,879,1.155059133,947.438,1.244990802,143366.167,0.214325153,1.779,1.442,14.46619916,0.309,0.174,0.111,0.073,0.05,0.039,0.034,0.038,0.044,0.043,0.048,0.038,0.072,0.347,0.192,0.121,0.091,0.177,64.22000002,13.29,0.793055123,,52.46,0.221661721
164,844,1073,1.271327014,1115.345,1.321498815,168407.25,0.185959605,1.785,1.467,14.56402121,0.312,0.154,0.095,0.068,0.051,0.047,0.045,0.049,0.052,0.05,0.042,0.034,0.071,0.339,0.184,0.138,0.125,0.143,85.27000002,17.74,0.791954967,,56.24,0.184218161
167,811,797,0.982737361,894.579,1.10305672,133588.917,0.206676574,1.787,1.434,14.30694835,0.336,0.153,0.098,0.06,0.049,0.045,0.039,0.034,0.036,0.043,0.045,0.063,0.075,0.336,0.195,0.121,0.099,0.173,57.22999998,11.17,0.804822645,,39.40000001,0.17157275
168,857,862,1.005834306,897.831,1.047644107,111615.583,0.151090356,1.755,1.407,14.10068442,0.348,0.143,0.099,0.075,0.061,0.05,0.049,0.047,0.042,0.032,0.029,0.025,0.073,0.326,0.215,0.148,0.102,0.136,45.18999998,8.460000003,0.81279044,,27.43000001,0.181682578
170,702,699,0.995726496,740.914,1.055433048,94857,0.193310346,1.773,1.384,14.23755076,0.312,0.14,0.096,0.069,0.057,0.055,0.045,0.045,0.047,0.052,0.047,0.036,0.082,0.292,0.196,0.143,0.122,0.164,35.10999999,7.530000001,0.785531188,,15.98,0.150903294
171,923,814,0.881906826,1145.962,1.241562297,112605.833,0.149876928,1.697,1.412,14.43489749,0.41,0.179,0.099,0.072,0.06,0.05,0.038,0.026,0.016,0.016,0.016,0.018,0.084,0.411,0.235,0.141,0.072,0.058,50.42000001,8.769999997,0.826061087,,64.58000001,0.209547124
172,617,966,1.565640194,1026.859259,1.664277568,85606.917,0.143630465,1.715,1.376,14.29303609,0.299,0.179,0.114,0.089,0.07,0.054,0.046,0.037,0.031,0.026,0.026,0.028,0.088,0.316,0.26,0.163,0.083,0.09,34.72000001,6.509999999,0.8125,,22.27000001,0.182152038
173,892,988,1.107623318,999.753,1.120799327,165441.833,0.187725614,1.78,1.463,14.56302609,0.317,0.154,0.098,0.079,0.065,0.053,0.045,0.045,0.047,0.044,0.032,0.02,0.061,0.341,0.215,0.147,0.116,0.12,67.40000001,14.94,0.778338279,,49.41999999,0.210164616
174,906,804,0.887417219,956.471,1.055707506,135208.333,0.185617625,1.785,1.432,14.31058163,0.312,0.154,0.097,0.074,0.061,0.052,0.042,0.039,0.042,0.045,0.044,0.039,0.062,0.346,0.188,0.139,0.111,0.153,68.93999999,12.69999999,0.815781839,,66.76999997,0.164434989
175,635,622,0.979527559,691.564,1.089077165,90702.917,0.229645079,1.799,1.387,13.99980676,0.226,0.142,0.107,0.081,0.069,0.064,0.055,0.057,0.052,0.047,0.051,0.05,0.064,0.242,0.218,0.164,0.129,0.183,47.56000001,8.16,0.82842725,,29.01000001,0.229072548
176,711,549,0.772151899,624.586,0.878461322,83122,0.212948232,1.808,1.372,13.93657243,0.282,0.151,0.097,0.065,0.051,0.041,0.037,0.04,0.04,0.045,0.063,0.088,0.066,0.281,0.196,0.125,0.095,0.238,33.52000001,6.090000002,0.818317422,,59.00000004,0.211018989
177,560,849,1.516071429,915.7481481,1.63526455,57558.167,0.121062946,1.654,1.318,13.83336595,0.388,0.191,0.122,0.077,0.052,0.041,0.036,0.03,0.022,0.015,0.008,0.019,0.1,0.419,0.246,0.123,0.06,0.051,18.82,2.84,0.849096706,,31.46000001,0.196834312
178,1019,930,0.91265947,1000.897,0.982234544,172291.333,0.181805199,1.799,1.465,14.72757139,0.355,0.151,0.083,0.058,0.045,0.036,0.031,0.035,0.037,0.045,0.059,0.066,0.075,0.355,0.172,0.107,0.089,0.201,81.70000001,17.12,0.790452876,,6.639999998,0.18226601
179,703,811,1.153627312,907.418,1.290779516,72260.417,0.126743088,1.712,1.348,14.07245413,0.37,0.165,0.087,0.056,0.048,0.049,0.053,0.052,0.045,0.033,0.024,0.019,0.103,0.352,0.192,0.151,0.112,0.09,27.23000001,4.960000001,0.817847962,,13.43000001,0.196289647
180,772,936,1.212435233,1130.911,1.464910622,150621.417,0.208446007,1.749,1.45,14.80050276,0.343,0.184,0.114,0.074,0.051,0.042,0.04,0.036,0.029,0.023,0.026,0.035,0.08,0.382,0.21,0.147,0.081,0.1,62.57,13.15,0.789835384,,16.81999999,0.188615533
181,1061,866,0.816211122,1081.526,1.0193459,201393.917,0.219186132,1.759,1.49,14.78683671,0.344,0.174,0.106,0.073,0.057,0.047,0.041,0.036,0.033,0.028,0.029,0.033,0.089,0.391,0.197,0.117,0.086,0.121,79.90999997,13.14,0.835565011,,34.13000001,0.152470822
182,880,766,0.870454545,907.352,1.031081818,129947.333,0.192777316,1.716,1.428,14.61041343,0.422,0.195,0.108,0.064,0.045,0.035,0.028,0.025,0.026,0.024,0.016,0.013,0.078,0.454,0.219,0.111,0.068,0.069,37.63000001,8.620000003,0.770927452,,38.83999999,0.182487897
183,941,1143,1.21466525,1214.287,1.290421892,186473.5,0.173372922,1.77,1.478,15.09933739,0.361,0.176,0.104,0.069,0.047,0.036,0.03,0.035,0.039,0.038,0.034,0.03,0.082,0.368,0.194,0.121,0.106,0.129,74.78000003,15.77999999,0.788981011,,52.66,0.16213206
184,823,913,1.109356015,1012.132,1.229808019,114724.917,0.152681754,1.74,1.412,14.53022613,0.353,0.18,0.103,0.069,0.05,0.042,0.037,0.039,0.041,0.035,0.024,0.025,0.093,0.375,0.192,0.124,0.108,0.107,39.17000001,7.710000003,0.803165688,,35.51000002,0.154322458
185,444,687,1.547297297,715.32,1.611081081,26185.167,0.085845126,1.582,1.213,13.30891044,0.483,0.173,0.088,0.062,0.045,0.038,0.029,0.022,0.018,0.014,0.008,0.021,0.162,0.446,0.163,0.105,0.062,0.062,8.119999999,1.48,0.81773399,,38.75000001,0.213357694
186,734,719,0.979564033,830.478,1.131441417,49172.917,0.093175348,1.647,1.293,13.75198708,0.406,0.197,0.12,0.065,0.048,0.032,0.025,0.021,0.023,0.022,0.018,0.021,0.101,0.412,0.236,0.113,0.073,0.065,16.71000001,3.279999999,0.803710353,,37.02,0.167154106
187,682,673,0.986803519,701.63,1.028782991,59696.083,0.130060793,1.708,1.331,13.97576642,0.342,0.183,0.109,0.083,0.062,0.053,0.046,0.037,0.032,0.022,0.012,0.018,0.095,0.354,0.248,0.157,0.091,0.055,20.72999999,3.91,0.811384467,,27.85999999,0.182031709
188,812,756,0.931034483,818.799,1.008373153,89956.083,0.146538827,1.744,1.381,14.18206735,0.354,0.178,0.098,0.067,0.053,0.048,0.046,0.043,0.038,0.031,0.022,0.022,0.104,0.363,0.215,0.128,0.092,0.099,40.27000001,6.139999999,0.847529178,,39.45000002,0.164194915
189,772,1078,1.396373057,1091.676,1.414088083,116961,0.140541638,1.724,1.417,14.55079543,0.331,0.174,0.113,0.071,0.06,0.056,0.051,0.043,0.034,0.023,0.019,0.025,0.084,0.338,0.233,0.175,0.095,0.075,47.50999999,8.670000002,0.817512103,,34.30999998,0.193085607
190,952,736,0.773109244,996.216,1.046445378,148951,0.212583063,1.745,1.451,14.53051479,0.333,0.174,0.119,0.082,0.054,0.041,0.039,0.04,0.038,0.034,0.024,0.023,0.079,0.369,0.224,0.133,0.095,0.099,62.85,10.19,0.83786794,,39.83,0.182135524
192,759,635,0.836627141,981.94,1.29372859,98210.333,0.203770674,1.779,1.395,14.19631422,0.29,0.171,0.105,0.07,0.054,0.047,0.043,0.041,0.044,0.048,0.043,0.043,0.085,0.329,0.19,0.133,0.118,0.146,41.99000001,6.479999998,0.845677542,,52.92000001,0.174157303
193,1225,863,0.704489796,990.267,0.808381224,110227.25,0.10426585,1.712,1.409,14.46986433,0.377,0.163,0.092,0.07,0.062,0.057,0.057,0.051,0.037,0.018,0.009,0.007,0.076,0.367,0.245,0.163,0.103,0.046,49.26000002,10.51,0.786642306,,63.18999998,0.169972416
194,925,851,0.92,902.61,0.975794595,130733.333,0.166079122,1.726,1.432,14.43821896,0.382,0.181,0.105,0.077,0.061,0.056,0.046,0.036,0.027,0.016,0.007,0.007,0.089,0.399,0.232,0.147,0.072,0.06,44.45,7.430000002,0.832845894,,41.66999998,0.191344848
195,880,705,0.801136364,807.259,0.917339773,88909.667,0.14331023,1.721,1.383,14.14560428,0.362,0.19,0.115,0.074,0.056,0.046,0.043,0.036,0.031,0.019,0.013,0.016,0.1,0.399,0.215,0.137,0.084,0.065,34.05999999,6.2,0.817968291,,29.17999999,0.206418276
196,982,852,0.867617108,923.805,0.940738289,112411.083,0.134356304,1.7,1.412,14.49458269,0.382,0.171,0.109,0.085,0.069,0.056,0.041,0.03,0.022,0.016,0.008,0.011,0.084,0.378,0.247,0.17,0.073,0.048,47.20000002,7.749999997,0.835805085,,57.25000003,0.170410085
197,1079,975,0.903614458,1073.639,0.995031511,130172.333,0.123735019,1.689,1.428,14.69437834,0.43,0.197,0.096,0.059,0.045,0.041,0.035,0.034,0.029,0.02,0.009,0.006,0.098,0.419,0.217,0.133,0.079,0.053,42.51999998,8.209999996,0.806914393,,7.889999999,0.281420765
198,773,796,1.029754204,1023.352,1.323870634,125857.25,0.204543497,1.761,1.427,14.61115972,0.328,0.184,0.115,0.071,0.052,0.043,0.037,0.035,0.035,0.035,0.028,0.037,0.078,0.341,0.227,0.135,0.093,0.126,48.7,8.869999997,0.817864476,,7.859999999,0.167372881
199,929,760,0.818083961,842.924,0.907345533,153212.25,0.217002224,1.79,1.453,14.56007556,0.279,0.165,0.111,0.08,0.062,0.05,0.042,0.037,0.037,0.038,0.041,0.059,0.068,0.324,0.208,0.139,0.103,0.158,64.08000002,11.16,0.825842697,,15.67,0.183854167
200,852,704,0.82629108,946.602,1.111035211,163510.167,0.272604178,1.808,1.464,14.67725467,0.263,0.152,0.106,0.082,0.061,0.049,0.045,0.047,0.053,0.056,0.052,0.035,0.071,0.296,0.2,0.136,0.129,0.166,76.12999998,12.94,0.830027584,,5.67,0.201408451
201,1039,776,0.746871992,881.621,0.848528393,116339.167,0.144294136,1.741,1.418,14.37144362,0.424,0.159,0.091,0.06,0.047,0.042,0.043,0.039,0.032,0.026,0.02,0.017,0.092,0.421,0.195,0.129,0.084,0.079,51.52999998,9.860000004,0.808655152,,15.31,0.179088472
202,1005,904,0.899502488,960.758,0.955978109,110998.583,0.122175167,1.71,1.409,14.60717859,0.39,0.185,0.1,0.081,0.065,0.054,0.045,0.036,0.023,0.011,0.005,0.006,0.086,0.396,0.233,0.141,0.084,0.059,36.76999999,7.589999997,0.793581724,,13.16,0.192142419
C126,1034,1013,0.979690522,1070.066,1.034880077,144613.833,0.13806381,1.744,1.443,14.54968475,0.385,0.173,0.097,0.066,0.052,0.042,0.039,0.039,0.037,0.031,0.02,0.02,0.085,0.376,0.201,0.146,0.101,0.092,69.01000003,11.75999999,0.829589915,,46.66999997,0.181515258
W003,504,646,1.281746032,719.311,1.427204365,34625.333,0.106348386,1.58,1.249,13.40730357,0.433,0.232,0.106,0.074,0.054,0.034,0.025,0.015,0.008,0.004,0.002,0.014,0.11,0.414,0.277,0.132,0.052,0.014,9.439999999,1.58,0.832627119,,28.88,0.18921954
W004,552,827,1.498188406,861.126,1.56001087,51079.75,0.111893324,1.662,1.302,13.78457082,0.384,0.198,0.101,0.067,0.063,0.051,0.04,0.031,0.025,0.017,0.01,0.013,0.097,0.423,0.234,0.132,0.064,0.049,19.2,3.53,0.816145833,,48.86000003,0.166069295
W005,510,629,1.233333333,776.187,1.521935294,33480.083,0.104367602,1.609,1.248,13.42259352,0.377,0.155,0.102,0.092,0.077,0.058,0.04,0.022,0.014,0.013,0.016,0.033,0.119,0.351,0.248,0.142,0.079,0.062,7.1,1.43,0.798591549,,26.92999999,0.191776711
W006,504,896,1.777777778,939.566,1.864218254,53450.417,0.11836207,1.65,1.308,13.77338433,0.393,0.192,0.115,0.08,0.062,0.048,0.036,0.023,0.015,0.013,0.008,0.014,0.094,0.436,0.23,0.126,0.066,0.048,18.65,3.34,0.820911528,,27.03,0.179915049
W008,725,755,1.04137931,829.698,1.144411034,58071.917,0.10609165,1.67,1.317,13.9027002,0.38,0.167,0.103,0.087,0.064,0.05,0.047,0.039,0.027,0.014,0.009,0.013,0.103,0.378,0.237,0.143,0.087,0.052,16.29000001,3.130000001,0.807857581,,56,0.187581605
W009,828,784,0.946859903,924.508,1.116555556,119869.167,0.184655007,1.794,1.423,14.30677918,0.302,0.165,0.095,0.065,0.047,0.04,0.036,0.039,0.043,0.052,0.061,0.055,0.073,0.306,0.196,0.139,0.107,0.181,57.01999997,10.35,0.818484742,,91.69000005,0.181266184
W010,775,931,1.201290323,1046.851,1.350775484,96295.667,0.133461303,1.71,1.39,14.27878477,0.341,0.176,0.113,0.087,0.07,0.053,0.04,0.032,0.026,0.023,0.018,0.022,0.099,0.355,0.253,0.144,0.076,0.072,35.62,6.740000001,0.81078046,,43.56,0.175312382
W011,1061,821,0.773798303,1083.155556,1.020881768,116479.75,0.133718621,1.703,1.414,14.31938664,0.397,0.18,0.114,0.082,0.055,0.04,0.029,0.025,0.021,0.018,0.015,0.024,0.088,0.436,0.225,0.119,0.063,0.07,58.59000003,9.729999998,0.833930705,,10.75,0.180015255
W012,577,1141,1.977469671,1188.340741,2.059516015,69992.667,0.106314153,1.615,1.347,14.07381847,0.379,0.214,0.138,0.098,0.07,0.041,0.023,0.012,0.008,0.006,0.004,0.009,0.114,0.432,0.26,0.125,0.041,0.028,33.31999999,6.389999998,0.808223289,,50.81000003,0.181144238
W013,538,856,1.591078067,926.1185185,1.721409886,86150.833,0.187069696,1.714,1.376,14.12787219,0.306,0.176,0.125,0.089,0.062,0.057,0.05,0.041,0.031,0.022,0.018,0.022,0.084,0.357,0.242,0.151,0.085,0.08,32.96,5.93,0.820084951,,67.64999998,0.150978916
W014,808,987,1.221534653,1036.57,1.282883663,147459.583,0.184903226,1.769,1.446,14.57749299,0.376,0.16,0.085,0.063,0.051,0.039,0.036,0.037,0.033,0.033,0.034,0.053,0.082,0.377,0.189,0.12,0.085,0.147,68.93000001,12.93,0.812418395,,43.79999998,0.198242724
W015,1073,986,0.918918919,1074.966,1.001832246,221913.417,0.209752393,1.798,1.504,14.90195307,0.328,0.147,0.098,0.069,0.055,0.046,0.04,0.036,0.04,0.043,0.044,0.053,0.075,0.344,0.201,0.126,0.094,0.159,111.99,20.3,0.818733816,,49.24000001,0.169225578
W019,1013,863,0.851924975,1093.885,1.079846989,118408.417,0.135444799,1.7,1.421,14.44928474,0.375,0.172,0.111,0.081,0.066,0.055,0.046,0.035,0.025,0.016,0.01,0.007,0.092,0.393,0.236,0.154,0.075,0.051,52.82000001,9.260000003,0.824687618,,33.52,0.175399754
W022,689,663,0.962264151,877.832,1.274066763,38514.083,0.084311499,1.59,1.262,13.51077603,0.317,0.213,0.158,0.114,0.074,0.041,0.029,0.019,0.011,0.004,0.003,0.018,0.09,0.382,0.304,0.159,0.044,0.021,13.11,2.36,0.819984745,,40.26000001,0.193832599
W023,786,993,1.263358779,1040.344,1.323592875,128573.833,0.164733072,1.779,1.427,14.51334548,0.361,0.154,0.089,0.058,0.043,0.04,0.041,0.045,0.049,0.049,0.039,0.031,0.085,0.354,0.18,0.122,0.101,0.158,62.05000002,11.23999999,0.818855762,,50.14000003,0.205640051
W025,880,765,0.869318182,922.092,1.047831818,166458,0.247263815,1.799,1.468,14.69023742,0.255,0.153,0.11,0.082,0.062,0.055,0.055,0.055,0.047,0.043,0.045,0.037,0.062,0.297,0.218,0.138,0.105,0.18,79.67999998,12.03,0.849021084,,49.95000004,0.220627243
W026,945,979,1.035978836,1047.079,1.108020106,151027.333,0.163245438,1.758,1.451,14.80350495,0.321,0.169,0.103,0.071,0.059,0.054,0.054,0.053,0.045,0.033,0.022,0.017,0.077,0.341,0.218,0.162,0.113,0.088,54.62999998,10.83,0.801757276,,55.16999997,0.198343505
W027,846,857,1.013002364,1088.497,1.28663948,125322.583,0.17285349,1.715,1.426,14.44538886,0.382,0.177,0.1,0.078,0.068,0.058,0.042,0.03,0.023,0.016,0.011,0.016,0.085,0.379,0.235,0.152,0.083,0.065,59.27000001,10.03,0.830774422,,51.57000002,0.185179333
W028,662,651,0.983383686,705.565,1.065808157,90431.75,0.209836946,1.774,1.384,14.24189934,0.349,0.146,0.095,0.071,0.055,0.049,0.044,0.04,0.039,0.035,0.035,0.04,0.084,0.332,0.202,0.138,0.109,0.135,40.65,7.129999997,0.824600246,,25.32000001,0.191054313
W030,904,747,0.826327434,885.071,0.979060841,138377.917,0.20491689,1.77,1.442,14.52972493,0.331,0.155,0.104,0.081,0.062,0.05,0.043,0.04,0.037,0.035,0.033,0.03,0.088,0.339,0.212,0.142,0.095,0.124,49.94000001,9.679999997,0.806167401,,27.95000001,0.227900552
W032,1067,957,0.896907216,999.775,0.936996251,159964.583,0.156656162,1.77,1.459,14.84876351,0.364,0.172,0.103,0.072,0.052,0.043,0.037,0.033,0.031,0.032,0.029,0.031,0.085,0.363,0.206,0.127,0.084,0.135,63.12000003,12.98,0.794359949,,47.28999997,0.184373922
W033,1218,826,0.67816092,1141.847,0.937477011,145611.417,0.144733176,1.707,1.443,14.72975456,0.375,0.187,0.107,0.078,0.065,0.051,0.04,0.03,0.023,0.017,0.012,0.013,0.077,0.405,0.236,0.144,0.086,0.051,64.09000003,14.13999999,0.779372757,,34.34000001,0.172928709
W035,1141,859,0.752848379,902.156,0.790671341,173170,0.176682627,1.803,1.469,14.63101471,0.295,0.16,0.097,0.075,0.06,0.048,0.039,0.039,0.041,0.042,0.052,0.052,0.076,0.324,0.199,0.128,0.1,0.173,68.81999997,13.65000001,0.801656495,,47.16999999,0.170418572
W037,657,789,1.200913242,974.834,1.483765601,109329.917,0.210909745,1.806,1.408,14.27290065,0.316,0.15,0.102,0.063,0.045,0.035,0.035,0.034,0.041,0.045,0.056,0.077,0.084,0.293,0.178,0.113,0.107,0.224,63.29000001,11.72,0.814820667,,27.35000001,0.190588932
