ID,PW,PH(V),PH(V)/PW,PH,PH/PW,SA,SA/PH(V)*PW,IFD,SFD,G_g,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,LD1,LD2,LD3,LD4,LD5,LD6,Wf(g),Wd(g),WC,,Wf-Wd,Wd/Wf
35,721,1000,1.386962552,1102.414815,1.529008065,111899.75,0.155200763,1.761,1.41,14.35148947,0.352,0.139,0.09,0.072,0.062,0.058,0.05,0.044,0.041,0.037,0.03,0.025,0.084,0.35,0.197,0.153,0.097,0.119,46.30999998,9.280000002,0.799611315,,23.16,0.174331551
38,899,851,0.946607341,903.244,1.004720801,137537,0.179775413,1.775,1.434,14.40917004,0.317,0.19,0.113,0.065,0.045,0.033,0.026,0.03,0.035,0.039,0.049,0.059,0.074,0.369,0.194,0.102,0.089,0.171,54.56999999,10.84,0.801356056,,21.83000001,0.184534927
39,878,840,0.956719818,906.798,1.032799544,167513.667,0.227131016,1.782,1.466,14.67065459,0.299,0.154,0.102,0.079,0.063,0.056,0.047,0.041,0.038,0.036,0.043,0.043,0.068,0.33,0.204,0.138,0.118,0.142,71.64999998,15.18,0.788136776,,31.18000001,0.171405793
42,864,786,0.909722222,871.03,1.008136574,113499.75,0.167131618,1.751,1.408,14.22247343,0.349,0.169,0.112,0.074,0.054,0.046,0.036,0.033,0.028,0.028,0.034,0.037,0.07,0.37,0.219,0.151,0.08,0.11,43.47,8.88,0.795721187,,16.78000001,0.146490336
43,796,883,1.109296482,909.816,1.142984925,122975.917,0.174963033,1.783,1.417,14.41550115,0.345,0.144,0.083,0.06,0.05,0.046,0.044,0.047,0.055,0.061,0.041,0.025,0.07,0.324,0.17,0.156,0.131,0.15,47.14000002,10.25,0.78256258,,64.2,0.187547456
44,669,819,1.224215247,882.572,1.319240658,100684.833,0.183761292,1.757,1.393,14.14257655,0.329,0.177,0.112,0.077,0.063,0.052,0.044,0.035,0.033,0.032,0.027,0.018,0.081,0.359,0.217,0.158,0.098,0.087,45.29999998,9.97,0.7799117,,45.06000002,0.167251894
45,623,799,1.282504013,831.226,1.33423114,89236.5,0.179270035,1.767,1.375,14.2153801,0.311,0.162,0.103,0.073,0.055,0.052,0.051,0.047,0.044,0.037,0.032,0.032,0.08,0.345,0.198,0.153,0.114,0.11,30.71999999,6.470000003,0.789388021,,37.07999998,0.181456954
47,825,919,1.113939394,1011.033,1.225494545,117853.75,0.155443994,1.722,1.415,14.51486456,0.402,0.155,0.09,0.062,0.048,0.046,0.047,0.051,0.043,0.029,0.014,0.011,0.084,0.388,0.199,0.158,0.108,0.062,41.92999999,8.460000003,0.798235154,,30.52,0.191308956
48,612,884,1.444444444,925.157,1.511694444,110125.25,0.203555678,1.768,1.406,14.2102047,0.317,0.155,0.101,0.085,0.065,0.052,0.046,0.04,0.036,0.037,0.033,0.033,0.074,0.337,0.214,0.155,0.103,0.117,48.83,9.180000003,0.812000819,,46.38999998,0.205514643
49,719,725,1.008344924,806.625,1.121870654,112890.167,0.216565473,1.794,1.409,14.22593021,0.294,0.175,0.101,0.065,0.048,0.04,0.035,0.036,0.034,0.037,0.055,0.08,0.071,0.317,0.188,0.113,0.085,0.226,47.05,9.069999999,0.807226355,,50.86000003,0.182446552
